asset,time,adj_close,close,high,low,open,volume
AAPL,2023-07-24,190.8392791748047,192.75,194.91000366210938,192.25,193.41000366210938,45377800
AAPL,2023-07-25,191.7006378173828,193.6199951171875,194.44000244140625,192.9199981689453,193.3300018310547,37283200
AAPL,2023-07-26,192.5718994140625,194.5,195.63999938964844,193.32000732421875,193.6699981689453,47471900
AAPL,2023-07-27,191.30462646484375,193.22000122070312,197.1999969482422,192.5500030517578,196.02000427246094,47460200
AAPL,2023-07-28,193.8887176513672,195.8300018310547,196.6300048828125,194.13999938964844,194.6699981689453,48291400
AAPL,2023-07-31,194.50259399414062,196.4499969482422,196.49000549316406,195.25999450683594,196.05999755859375,38824100
AAPL,2023-08-01,193.6708984375,195.61000061035156,196.72999572753906,195.27999877929688,196.24000549316406,35175100
AAPL,2023-08-02,190.67095947265625,192.5800018310547,195.17999267578125,191.85000610351562,195.0399932861328,50389300
AAPL,2023-08-03,189.27493286132812,191.1699981689453,192.3699951171875,190.69000244140625,191.57000732421875,61235200
AAPL,2023-08-04,180.1859588623047,181.99000549316406,187.3800048828125,181.9199981689453,185.52000427246094,115799700
AAPL,2023-08-07,177.07705688476562,178.85000610351562,183.1300048828125,177.35000610351562,182.1300048828125,97576100
AAPL,2023-08-08,178.0176239013672,179.8000030517578,180.27000427246094,177.5800018310547,179.69000244140625,67823000
AAPL,2023-08-09,176.423583984375,178.19000244140625,180.92999267578125,177.00999450683594,180.8699951171875,60378500
AAPL,2023-08-10,176.20579528808594,177.97000122070312,180.75,177.60000610351562,179.47999572753906,54686900
AAPL,2023-08-11,176.26527404785156,177.7899932861328,178.6199951171875,176.5500030517578,177.32000732421875,51988100
AAPL,2023-08-14,177.9209442138672,179.4600067138672,179.69000244140625,177.30999755859375,177.97000122070312,43675600
AAPL,2023-08-15,175.92819213867188,177.4499969482422,179.47999572753906,177.0500030517578,178.8800048828125,43622600
AAPL,2023-08-16,175.05572509765625,176.57000732421875,178.5399932861328,176.5,177.1300048828125,46964900
AAPL,2023-08-17,172.5077667236328,174.0,177.50999450683594,173.47999572753906,177.13999938964844,66062900
AAPL,2023-08-18,172.9935760498047,174.49000549316406,175.10000610351562,171.9600067138672,172.3000030517578,61114200
AAPL,2023-08-21,174.3319854736328,175.83999633789062,176.1300048828125,173.74000549316406,175.07000732421875,46311900
AAPL,2023-08-22,175.71006774902344,177.22999572753906,177.67999267578125,176.25,177.05999755859375,42084200
AAPL,2023-08-23,179.56671142578125,181.1199951171875,181.5500030517578,178.3300018310547,178.52000427246094,52722800
AAPL,2023-08-24,174.8673858642578,176.3800048828125,181.10000610351562,176.00999450683594,180.6699981689453,54945800
AAPL,2023-08-25,177.07823181152344,178.61000061035156,179.14999389648438,175.82000732421875,177.3800048828125,51449600
AAPL,2023-08-28,178.6446990966797,180.19000244140625,180.58999633789062,178.5500030517578,180.08999633789062,43820700
AAPL,2023-08-29,182.54095458984375,184.1199951171875,184.89999389648438,179.5,179.6999969482422,53003900
AAPL,2023-08-30,186.04071044921875,187.64999389648438,187.85000610351562,184.74000549316406,184.94000244140625,60813900
AAPL,2023-08-31,186.25880432128906,187.8699951171875,189.1199951171875,187.47999572753906,187.83999633789062,60794500
AAPL,2023-09-01,187.83518981933594,189.4600067138672,189.9199981689453,188.27999877929688,189.49000549316406,45732600
AAPL,2023-09-05,188.07310485839844,189.6999969482422,189.97999572753906,187.61000061035156,188.27999877929688,45280000
AAPL,2023-09-06,181.34133911132812,182.91000366210938,188.85000610351562,181.47000122070312,188.39999389648438,81755800
AAPL,2023-09-07,176.0372314453125,177.55999755859375,178.2100067138672,173.5399932861328,175.17999267578125,112488800
AAPL,2023-09-08,176.65191650390625,178.17999267578125,180.24000549316406,177.7899932861328,178.35000610351562,65551300
